questions,answers
[Notifikasi] Bagaimana saya tahu jika pembayaran saya berhasil?,"[Notifikasi] Bagaimana saya tahu jika pembayaran saya berhasil?Jika pembayaran Anda telah berhasil diproses, Anda akan menerima pemberitahuan melalui notifikasi Aplikasi Shopee.

Memeriksa notifikasi
Buka tab Notifikasi > cari notifikasi berjudul Pembayaran Dikonfirmasi.Untuk mendapatkan notifikasi secara otomatis, sesuaikan pengaturan Notifikasi Anda.Jika Anda tidak menerima pemberitahuan setelah 24 jam tentang apakah pembayaran Anda berhasil, Anda dapat menghubungi Customer Service Shopee untuk mendapatkan solusi dari permasalahan yang Anda alami.Apakah artikel ini berguna?YaTidakArtikel Terkait[Notifikasi] Mengapa saya tidak menerima notifikasi/pemberitahuan dari aplikasi Shopee?[Notifikasi] Mengapa saya mendapatkan pemberitahuan tentang interaksi mencurigakan dengan penjual?"
[Keamanan Produk] Bagaimana cara melaporkan produk?,[Keamanan Produk] Bagaimana cara melaporkan produk?Anda dapat melaporkan sebuah produk melalui halaman produk. Pilih ikon pilihan lainnya (titik tiga di pojok kanan atas) > Laporkan produk ini. Anda dapat melaporkan produk jika menurut Anda produk tersebut tidak boleh dicantumkan atau telah didaftarkan dengan cara yang tidak sah.Apakah artikel ini berguna?YaTidakArtikel Terkait[Keamanan Akun] Bagaimana saya mendeteksi toko phishing?[Keamanan produk] Bagaimana memastikan keaslian suatu produk?
[Feedback] Bagaimana cara melaporkan Pengguna?,"[Feedback] Bagaimana cara melaporkan Pengguna?
Anda dapat melaporkan Pengguna melalui Chat atau halaman toko (untuk Penjual). Melaporkan Pengguna dapat dilakukan apabila mereka terlibat dalam perilaku yang tidak pantas, seperti chat yang menyinggung, atau daftar produk yang tidak sah. Melaporkan Pengguna melalui ChatPilih ikon Chat > pilih chat dengan Pengguna yang ingin dilaporkan > pilih ikon pilihan (titik tiga di bagian kanan atas) > pilih Laporkan Pengguna ini. Melaporkan Pengguna melalui halaman toko (untuk Penjual)Buka halaman toko Penjual > pilih ikon pilihan (titik tiga di pojok kanan atas) > pilih Laporkan Pengguna ini.
Apakah artikel ini berguna?YaTidakArtikel Terkait[Feedback] Bagaimana caranya saya dapat memberikan saran atau masukan ke Shopee?"
[Notifikasi] Mengapa saya tidak menerima notifikasi/pemberitahuan dari aplikasi Shopee?,"[Notifikasi] Mengapa saya tidak menerima notifikasi/pemberitahuan dari aplikasi Shopee?Jika Anda mengalami masalah saat menerima notifikasi/pemberitahuan dari aplikasi Shopee atau Shopee Lite, hal itu mungkin disebabkan oleh pengaturan akses atau izin untuk aplikasi Shopee dan Shopee Lite di perangkat seluler Anda. Untuk menerima notifikasi/pemberitahuan dari aplikasi Shopee dan Shopee Lite, Anda harus mengizinkan aplikasi untuk memiliki akses ke kalendar Anda.

Untuk Pengguna Android
Buka Pengaturan di perangkat Anda > pilih aplikasi Shopee atau Shopee Lite > pilih Kelola Notifikasi > Aktifkan toggle Izinkan Notifikasi.Untuk Pengguna iOS
Buka Pengaturan di perangkat Anda > pilih  Pemberitahuan > pilih aplikasi Shopee > Aktifkan toggle Izinkan Pemberitahuan.Apakah artikel ini berguna?YaTidakArtikel Terkait[Akun Saya] Bagaimana cara mengelola notifikasi/pemberitahuan saya di Aplikasi Shopee?[Masalah Teknis] Apa yang harus saya lakukan jika mengalami kendala/error/blank page di aplikasi Shopee?"
[Kendala ShopeePay] Mengapa saya tidak dapat mengakses ShopeePay?,"[Kendala ShopeePay] Mengapa saya tidak dapat mengakses ShopeePay?Anda mungkin tidak dapat mengakses akun ShopeePay karena terdapat kendala pada aplikasi atau akun ShopeePay Anda dinonaktifkan dengan alasan berikut:Memasukkan PIN ShopeePay atau password akun Shopee yang salah sebanyak 10 (sepuluh) kali dalam waktu 5 (lima) menit. Akun anda akan dinonaktifkan sementara selama 30 menit.Salah memasukkan PIN ShopeePay atau password akun Shopee hingga 11 (sebelas) kali dalam waktu 24 jam. Akun Anda otomatis dinonaktifkan secara permanen.
Pengajuan untuk penonaktifan akun ShopeePay karena handphone yang hilang atau dicuri.Terdeteksi adanya aktivitas yang mencurigakan.⚠️Catatan﻿Anda akan menerima pesan pop-up apabila sudah 9 (sembilan) kali memasukan PIN ShopeePay yang salah. Jika Anda lupa PIN ShopeePay dan menyebabkan akun ShopeePay Anda dinonaktifkan sementara, setel ulang PIN Anda. Ini akan mencegah ShopeePay Anda dinonaktifkan secara permanen.Untuk mengaktifkan kembali akun ShopeePay Anda, hubungi Customer Service Shopee. Akun akan diaktifkan kembali dalam 3 (tiga) hari kerja jika permintaan atau informasi yang Anda berikan benar dan telah melewati proses validasi yang dilakukan oleh tim Shopee.Apakah artikel ini berguna?YaTidakArtikel Terkait[Masalah Teknis] Apa yang harus saya lakukan jika mengalami kendala/error/blank page di aplikasi Shopee?[Pengaturan ShopeePay] Bagaimana cara mengubah PIN ShopeePay saya?[Aktivasi ShopeePay] Bagaimana cara mengaktifkan kembali akun ShopeePay yang tidak bisa digunakan?"
[ShopeePay] Bagaimana cara menonaktifkan akun ShopeePay untuk sementara jika handphone saya hilang?,"[ShopeePay] Bagaimana cara menonaktifkan akun ShopeePay untuk sementara jika handphone saya hilang?Jika handphone Anda hilang atau dicuri, Anda dapat menonaktifkan akun ShopeePay Anda untuk sementara dengan menghubungi Customer Service Shopee.Jika memungkinkan, harap segera mengubah kata sandi akun Shopee Anda melalui desktop/handphone kerabat yang Anda percaya.⚠️CatatanTim Shopee akan memeriksa verifikasi data diri Anda agar akun ShopeePay Anda dinonaktifkan. Namun, jika verifikasi data diri Anda belum lengkap, maka kemungkinan kami belum dapat memprosesnya lebih lanjut.Untuk mengaktifkan kembali akun ShopeePay Anda, silakan hubungi Customer Service Shopee. Akun anda akan diaktifkan kembali dalam 3 hari kerja.﻿Apakah artikel ini berguna?YaTidakArtikel Terkait[Aktivasi ShopeePay] Bagaimana cara menghapus akun ShopeePay saya?[Aktivasi ShopeePay] Bagaimana cara verifikasi akun ShopeePay saya?[Aktivasi ShopeePay] Apa tips upload foto KTP/KITAS untuk verifikasi ShopeePay?"
[Baru di Shopee] Mengapa saya tidak bisa membuat pesanan saat checkout?,"[Baru di Shopee] Mengapa saya tidak bisa membuat pesanan saat checkout?Terdapat beberapa kemungkinan yang menyebabkan Anda tidak dapat melakukan checkout pesanan: Akun Anda dibatasiAkun Anda akan dibatasi jika terdeteksi terlibat dalam aktivitas mencurigakan yang melanggar Syarat & Ketentuan Shopee. Jika akun Anda sedang dibatasi, Anda tidak dapat membuat pesanan ataupun melakukan pembayaran. Anda akan melihat pesan pop-up saat checkout yang menginformasikan Anda mengenai hal ini. Pelajari lebih lanjut tentang mengapa akun dibatasi dan bagaimana cara mengajukan banding. Alamat pengiriman tidak didukung oleh jasa kirimJika alamat pengiriman tidak didukung oleh jasa kirim, Anda tidak dapat melakukan checkout pesanan. Pilihan pengiriman mungkin tidak tersedia karena alamat tidak valid atau lokasi pengiriman tidak dapat diakses. Pelajari lebih lanjut tentang mengapa alamat pengiriman tidak didukung oleh jasa kirim. Metode pembayaran tidak didukungJika metode pembayaran yang Anda dipilih gagal, pesanan Anda tidak akan berhasil dibuat. Anda dapat memilih metode pembayaran lain yang tersedia untuk melanjutkan pembuatan pesanan. Jasa kirim yang didukung untuk produk berbeda (Jika Anda membeli beberapa produk)Anda tidak dapat checkout produk secara bersamaan dalam satu pesanan apabila produk yang dibeli menggunakan layanan jasa kirim yang berbeda. Agar pemesanan berhasil, lakukan checkout secara bersamaan pada produk yang memiliki pilihan jasa kirim yang sama. Anda dapat menemukan informasi mengenai jasa kirim pada bagian Ongkos Kirim. Melebihi batas berat atau dimensi produk yang ditentukan jasa kirim (Jika Anda membeli beberapa produk)Anda tidak dapat melakukan checkout pesanan apabila berat atau dimensi produk melebihi limit yang ditentukan oleh penyedia jasa kirim. Jika demikian, silakan pilih layanan pengiriman lain yang dapat mendukung produk yang ingin Anda beli. Cari tahu lebih lanjut mengenai cara mengecek berat produk, batasan berat, dan dimensi produk di Shopee. Melebihi batas pembelian produk (Jika Anda membeli beberapa produk)Anda hanya dapat checkout maks. 50 jenis produk yang berbeda dalam satu waktu. Penjual juga dapat menetapkan batas jumlah produk yang dapat dibeli per pesanan oleh setiap Pembeli. Kode Voucher/Promo sudah digunakan sebelumnyaPastikan kode Voucher/Promo (ShopeeFood, Produk Digital, atau Shopee Marketplace) belum pernah digunakan sebelumnya. Silakan lakukan checkout menggunakan kode Voucher lainnya yang tersedia di Voucher Saya. Muncul peringatan saat membeli Produk Digital ShopeeApabila Anda mendapatkan notifikasi tidak bisa checkout saat membeli produk digital, silakan coba dalam 1x24 jam. Koneksi tidak stabilSilakan hidupkan dan matikan Mode Pesawat di handphone Anda untuk mengatur ulang koneksi. Apabila menggunakan Wi-Fi, restart modem atau router yang Anda gunakan untuk memperbarui koneksi internet. Jika kendala masih berlanjut, lakukan clear cache pada aplikasi Shopee. Pelajari lebih lanjut mengenai solusi untuk kendala pada aplikasi Shopee. Akun Anda belum memasukkan no. handphoneSilakan masukkan no. handphone baru atau yang belum pernah Anda gunakan pada akun Shopee lainnya. Kemudian, coba kembali untuk melakukan checkout. Pelajari lebih lanjut apabila Anda tidak bisa checkout saat memesan ShopeeFood. Jika Anda masih mengalami kendala, silakan hubungi Customer Service Shopee melalui Live Chat atau Telepon di Pusat Bantuan.Apakah artikel ini berguna?YaTidakArtikel Terkait[Baru di Shopee] Bagaimana cara melakukan checkout di Shopee?"
[Mandiri Kartu Kredit Shopee] Bagaimana cara mengajukan Mandiri Kartu Kredit Shopee?,"[Mandiri Kartu Kredit Shopee] Bagaimana cara mengajukan Mandiri Kartu Kredit Shopee?Silakan masuk ke halaman promo Mandiri Kartu Kredit Shopee > pilih Ajukan Sekarang > lengkapi Formulir Data Diri > centang Syarat & Ketentuan yang berlaku > pilih Kirim.

Setelah selesai mengisi formulir, pilih Form Aplikasi Shopee Mandiri Card > pilih Lanjutkan > pilih Kartu Ini > Lengkapi Formulir Data Diri pribadi.

Setelah seluruh data terisi, lakukan konfirmasi untuk pengajuan Mandiri Kartu Kredit Shopee. Anda akan menerima informasi melalui SMS apabila pengajuan Mandiri Kartu Kredit Shopee telah disetujui.⚠️CatatanLimit Mandiri Kartu Kredit Shopee yang akan didapat mengacu pada Kebijakan Bank Mandiri.Mandiri Kartu Kredit Shopee dapat Anda gunakan untuk bertransaksi di aplikasi Shopee maupun di Merchant ShopeePay lainnya baik secara online maupun offline.Biaya tahunan Mandiri Kartu Kredit Shopee gratis untuk 1 tahun pertama, terhitung sejak kartu disetujui. Berikut informasi lebih lanjut mengenai biaya dan bunga Mandiri Kartu Kredit Shopee.
Untuk pertanyaan lebih lanjut terkait proses dan status pengajuan Mandiri Kartu Kredit Shopee, Anda dapat menghubungi Mandiri Call Center di 14000 atau email ke mandiricare@bankmandiri.co.id.
Apakah artikel ini berguna?YaTidakArtikel Terkait[Mandiri Kartu Kredit Shopee] Apa itu Mandiri Kartu Kredit Shopee?[Mandiri Kartu Kredit Shopee] Apa saja persyaratan untuk mengajukan Mandiri Kartu Kredit Shopee?[Mandiri Kartu Kredit Shopee] Mengapa Koin Shopee dari pengajuan/transaksi Mandiri Kartu Kredit Shopee belum diterima?"
[Mandiri Kartu Kredit Shopee] Apa saja persyaratan untuk mengajukan Mandiri Kartu Kredit Shopee?,"[Mandiri Kartu Kredit Shopee] Apa saja persyaratan untuk mengajukan Mandiri Kartu Kredit Shopee?Berikut syarat-syarat untuk mengajukan Mandiri Kartu Kredit Shopee:
A. Persyaratan UmumPemohon bertempat tinggal atau bekerja di daerah pemasaran Bank Mandiri.Minimum pendapatan per bulan Rp3.000.000.Pemohon tidak termasuk dalam daftar blacklist AKKI (Asosiasi Kartu Kredit Indonesia) dan SID (Single Investor Identification) Bank Indonesia.Pemohon wajib mengisi informasi kontak darurat yang memiliki hubungan keluarga.B. Persyaratan UsiaPemohon harus berusia minimum 21 tahun atau telah menikah.Khusus permohonan kartu tambahan, Pemohon harus berusia minimum 17 tahun atau telah menikah.Pemohon kartu utama atau tambahan maksimum berusia 70 tahun.C. Kelengkapan Dokumen
     Berikut kelengkapan dokumen yang harus dilengkapi untuk mengajukan Mandiri Kartu Kredit Shopee:Untuk informasi mengenai persyaratan lebih lanjut, kunjungi halaman Persyaratan Mandiri Kartu Kredit Shopee atau hubungi Mandiri Call Centre di 14000 atau email ke mandiricare@bankmandiri.co.id.Apakah artikel ini berguna?YaTidakArtikel Terkait[Mandiri Kartu Kredit Shopee] Apa itu Mandiri Kartu Kredit Shopee?[Mandiri Kartu Kredit Shopee] Bagaimana cara mengajukan Mandiri Kartu Kredit Shopee?[Mandiri Kartu Kredit Shopee] Mengapa Koin Shopee dari pengajuan/transaksi Mandiri Kartu Kredit Shopee belum diterima?"
[Mandiri Kartu Kredit Shopee] Mengapa Koin Shopee dari pengajuan/transaksi Mandiri Kartu Kredit Shopee belum diterima?,"[Mandiri Kartu Kredit Shopee] Mengapa Koin Shopee dari pengajuan/transaksi Mandiri Kartu Kredit Shopee belum diterima?Apabila Anda melakukan transaksi sebelum tanggal 20 setiap bulannya, maka Welcome Bonus akan Anda terima pada tanggal 1 (satu) bulan berikutnya.Jika pada tanggal 1 (satu) pada bulan berikutnya Anda belum menerima Welcome Bonus, silakan ikuti langkah berikut:Pastikan Anda sudah mengisi formulir yang dikirimkan via SMS dari MANDIRICARD dan data diri yang Anda masukkan sudah sesuai dengan KTP yang sebelumnya digunakan untuk mengajukan Mandiri Kartu Kredit Shopee ke Bank Mandiri.Login via aplikasi Shopee menggunakan akun yang ditujukan untuk menerima Koin Shopee.Lengkapi Formulir Data Diri > centang Syarat & Ketentuan yang berlaku > pilih Kirim.
⚠️️ CatatanAnda akan mendapatkan notifikasi di aplikasi Shopee apabila Koin Shopee sudah berhasil ditambahkan ke akun Anda. Silakan cek Riwayat Koin Shopee Anda atau pelajari lebih lanjut cara memeriksa saldo Koin Shopee.Koin Shopee yang Anda dapatkan bisa digunakan untuk bertransaksi di aplikasi Shopee maupun di Merchant ShopeePay.﻿
Apakah artikel ini berguna?YaTidakArtikel Terkait[Mandiri Kartu Kredit Shopee] Apa itu Mandiri Kartu Kredit Shopee?[Mandiri Kartu Kredit Shopee] Bagaimana cara mengajukan Mandiri Kartu Kredit Shopee?[Mandiri Kartu Kredit Shopee] Apa saja persyaratan untuk mengajukan Mandiri Kartu Kredit Shopee?"
[Mandiri Kartu Kredit Shopee] Apa itu Mandiri Kartu Kredit Shopee?,[Mandiri Kartu Kredit Shopee] Apa itu Mandiri Kartu Kredit Shopee?Mandiri Kartu Kredit Shopee adalah Kartu Kredit co-brand platform belanja online pertama di Indonesia yang merupakan hasil dari kerja sama Shopee dan Bank Mandiri. Berikut merupakan keuntungan dari memiliki Mandiri Kartu Kredit Shopee:Welcome Bonus 250.000 Koin Shopee.Cashback s/d 5x Koin Shopee untuk setiap transaksi kelipatan Rp1.000.Cashback 5% Koin Shopee s/d 100.000 untuk setiap pembelanjaan di Shopee setiap bulannya.Biaya Layanan transaksi cicilan paling murah  untuk setiap transaksi di Shopee.Gratis perlindungan atas kehilangan atau kerusakan harta benda yang dibeli baik offline maupun online. Pelajari lebih lanjut informasi lengkap mengenai Mandiri Kartu Kredit Shopee. Apakah artikel ini berguna?YaTidakArtikel Terkait[Mandiri Kartu Kredit Shopee] Bagaimana cara mengajukan Mandiri Kartu Kredit Shopee?[Mandiri Kartu Kredit Shopee] Apa saja persyaratan untuk mengajukan Mandiri Kartu Kredit Shopee?
[Mitra Shopee] Bagaimana cara saya memblokir akun Saldo Mitra?,"[Mitra Shopee] Bagaimana cara saya memblokir akun Saldo Mitra?Jika Anda telah berhasil melakukan verifikasi data diri, Anda bisa memblokir akun Saldo Mitra Anda untuk sementara (misalnya karena ponsel hilang) dengan cara menghubungi tim Customer Service Shopee. Namun, jika Anda belum melakukan verifikasi data diri, Anda tidak dapat meminta pemblokiran akun Saldo Mitra sementara.Apakah artikel ini berguna?YaTidak"
[Mitra Shopee] Mengapa saya diminta untuk mengupdate aplikasi Mitra Shopee?,"[Mitra Shopee] Mengapa saya diminta untuk mengupdate aplikasi Mitra Shopee?Untuk meningkatkan kenyamanan penggunaan aplikasi Mitra Shopee, kami menganjurkan Anda untuk segera meng-update aplikasi Mitra Shopee, agar Anda dapat menikmati seluruh fitur terbaru.Apakah artikel ini berguna?YaTidak"
[Mitra Shopee] Bagaimana cara mulai menggunakan Saldo Mitra?,"[Mitra Shopee] Bagaimana cara mulai menggunakan Saldo Mitra?Pada halaman Saldo Mitra, terdapat pilihan Top up, Penarikan dan Cek Riwayat Transaksi. ⚠️CatatanPenggunaan Saldo Mitra hanya dapat dilakukan setelah Anda melakukan verifikasi akun Mitra Shopee.Apakah artikel ini berguna?YaTidak"
[Mitra Shopee] Bagaimana jika saya salah mengisi saldo Mitra ke akun pengguna lain?,[Mitra Shopee] Bagaimana jika saya salah mengisi saldo Mitra ke akun pengguna lain?Kami tidak bertanggung jawab untuk menggantikan jumlah pengisian saldo yang salah akibat kelalaian. Harap selalu pastikan bahwa nomor rekening/Virtual Account tujuan Anda sudah benar sebelum melakukan pembayaran.Apakah artikel ini berguna?YaTidak
[Mitra Shopee] Apa yang dimaksud dengan PIN Saldo Mitra Shopee?,"[Mitra Shopee] Apa yang dimaksud dengan PIN Saldo Mitra Shopee?PIN Saldo Mitra Shopee adalah kode yang digunakan untuk melakukan penarikan dana dari saldo Mitra Shopee. Berikut ketentuan tentang PIN Saldo Mitra Shopee:Anda harus membuat 6 (enam) digit angka PIN Saldo Mitra Shopee demi menjaga keamanan akun Anda.PIN Saldo Mitra harap dibedakan dengan password akun Shopee.Jika Anda salah memasukkan PIN dan/atau kata sandi akun sebanyak 3 (tiga) kali berturut-turut, akun Anda akan dikunci sementara selama 30 menit.Jika Anda salah memasukkan PIN dan/atau kata sandi akun sebanyak 5 (lima) kali dalam rentang waktu 24 jam, akun Anda akan diblokir. Klik di sini untuk memulihkan akun yang diblokir.Apakah artikel ini berguna?YaTidak"
[Mitra Shopee] Berapa lama batas waktu pembayaran untuk pengisian Saldo Mitra?,"[Mitra Shopee] Berapa lama batas waktu pembayaran untuk pengisian Saldo Mitra?Batas waktu pembayaran untuk pengisian Saldo Mitra adalah 1x24 jam sejak pesanan dibuat. Apabila Anda tidak juga melakukan pembayaran dalam rentang waktu 1x24 jam, maka pesanan Anda akan otomatis dibatalkan.Apakah artikel ini berguna?YaTidak"
[Mandiri Kartu Kredit Shopee] Bagaimana cara mengajukan Mandiri Kartu Kredit Shopee?,"[Mandiri Kartu Kredit Shopee] Bagaimana cara mengajukan Mandiri Kartu Kredit Shopee?Silakan masuk ke halaman promo Mandiri Kartu Kredit Shopee > pilih Ajukan Sekarang > lengkapi Formulir Data Diri > centang Syarat & Ketentuan yang berlaku > pilih Kirim.

Setelah selesai mengisi formulir, pilih Form Aplikasi Shopee Mandiri Card > pilih Lanjutkan > pilih Kartu Ini > Lengkapi Formulir Data Diri pribadi.

Setelah seluruh data terisi, lakukan konfirmasi untuk pengajuan Mandiri Kartu Kredit Shopee. Anda akan menerima informasi melalui SMS apabila pengajuan Mandiri Kartu Kredit Shopee telah disetujui.⚠️CatatanLimit Mandiri Kartu Kredit Shopee yang akan didapat mengacu pada Kebijakan Bank Mandiri.Mandiri Kartu Kredit Shopee dapat Anda gunakan untuk bertransaksi di aplikasi Shopee maupun di Merchant ShopeePay lainnya baik secara online maupun offline.Biaya tahunan Mandiri Kartu Kredit Shopee gratis untuk 1 tahun pertama, terhitung sejak kartu disetujui. Berikut informasi lebih lanjut mengenai biaya dan bunga Mandiri Kartu Kredit Shopee.
Untuk pertanyaan lebih lanjut terkait proses dan status pengajuan Mandiri Kartu Kredit Shopee, Anda dapat menghubungi Mandiri Call Center di 14000 atau email ke mandiricare@bankmandiri.co.id.
Apakah artikel ini berguna?YaTidakArtikel Terkait[Mandiri Kartu Kredit Shopee] Apa itu Mandiri Kartu Kredit Shopee?[Mandiri Kartu Kredit Shopee] Apa saja persyaratan untuk mengajukan Mandiri Kartu Kredit Shopee?[Mandiri Kartu Kredit Shopee] Mengapa Koin Shopee dari pengajuan/transaksi Mandiri Kartu Kredit Shopee belum diterima?"
[Mandiri Kartu Kredit Shopee] Apa saja persyaratan untuk mengajukan Mandiri Kartu Kredit Shopee?,"[Mandiri Kartu Kredit Shopee] Apa saja persyaratan untuk mengajukan Mandiri Kartu Kredit Shopee?Berikut syarat-syarat untuk mengajukan Mandiri Kartu Kredit Shopee:
A. Persyaratan UmumPemohon bertempat tinggal atau bekerja di daerah pemasaran Bank Mandiri.Minimum pendapatan per bulan Rp3.000.000.Pemohon tidak termasuk dalam daftar blacklist AKKI (Asosiasi Kartu Kredit Indonesia) dan SID (Single Investor Identification) Bank Indonesia.Pemohon wajib mengisi informasi kontak darurat yang memiliki hubungan keluarga.B. Persyaratan UsiaPemohon harus berusia minimum 21 tahun atau telah menikah.Khusus permohonan kartu tambahan, Pemohon harus berusia minimum 17 tahun atau telah menikah.Pemohon kartu utama atau tambahan maksimum berusia 70 tahun.C. Kelengkapan Dokumen
     Berikut kelengkapan dokumen yang harus dilengkapi untuk mengajukan Mandiri Kartu Kredit Shopee:Untuk informasi mengenai persyaratan lebih lanjut, kunjungi halaman Persyaratan Mandiri Kartu Kredit Shopee atau hubungi Mandiri Call Centre di 14000 atau email ke mandiricare@bankmandiri.co.id.Apakah artikel ini berguna?YaTidakArtikel Terkait[Mandiri Kartu Kredit Shopee] Apa itu Mandiri Kartu Kredit Shopee?[Mandiri Kartu Kredit Shopee] Bagaimana cara mengajukan Mandiri Kartu Kredit Shopee?[Mandiri Kartu Kredit Shopee] Mengapa Koin Shopee dari pengajuan/transaksi Mandiri Kartu Kredit Shopee belum diterima?"
[Mandiri Kartu Kredit Shopee] Mengapa Koin Shopee dari pengajuan/transaksi Mandiri Kartu Kredit Shopee belum diterima?,"[Mandiri Kartu Kredit Shopee] Mengapa Koin Shopee dari pengajuan/transaksi Mandiri Kartu Kredit Shopee belum diterima?Apabila Anda melakukan transaksi sebelum tanggal 20 setiap bulannya, maka Welcome Bonus akan Anda terima pada tanggal 1 (satu) bulan berikutnya.Jika pada tanggal 1 (satu) pada bulan berikutnya Anda belum menerima Welcome Bonus, silakan ikuti langkah berikut:Pastikan Anda sudah mengisi formulir yang dikirimkan via SMS dari MANDIRICARD dan data diri yang Anda masukkan sudah sesuai dengan KTP yang sebelumnya digunakan untuk mengajukan Mandiri Kartu Kredit Shopee ke Bank Mandiri.Login via aplikasi Shopee menggunakan akun yang ditujukan untuk menerima Koin Shopee.Lengkapi Formulir Data Diri > centang Syarat & Ketentuan yang berlaku > pilih Kirim.
⚠️️ CatatanAnda akan mendapatkan notifikasi di aplikasi Shopee apabila Koin Shopee sudah berhasil ditambahkan ke akun Anda. Silakan cek Riwayat Koin Shopee Anda atau pelajari lebih lanjut cara memeriksa saldo Koin Shopee.Koin Shopee yang Anda dapatkan bisa digunakan untuk bertransaksi di aplikasi Shopee maupun di Merchant ShopeePay.﻿
Apakah artikel ini berguna?YaTidakArtikel Terkait[Mandiri Kartu Kredit Shopee] Apa itu Mandiri Kartu Kredit Shopee?[Mandiri Kartu Kredit Shopee] Bagaimana cara mengajukan Mandiri Kartu Kredit Shopee?[Mandiri Kartu Kredit Shopee] Apa saja persyaratan untuk mengajukan Mandiri Kartu Kredit Shopee?"
[Mandiri Kartu Kredit Shopee] Apa itu Mandiri Kartu Kredit Shopee?,[Mandiri Kartu Kredit Shopee] Apa itu Mandiri Kartu Kredit Shopee?Mandiri Kartu Kredit Shopee adalah Kartu Kredit co-brand platform belanja online pertama di Indonesia yang merupakan hasil dari kerja sama Shopee dan Bank Mandiri. Berikut merupakan keuntungan dari memiliki Mandiri Kartu Kredit Shopee:Welcome Bonus 250.000 Koin Shopee.Cashback s/d 5x Koin Shopee untuk setiap transaksi kelipatan Rp1.000.Cashback 5% Koin Shopee s/d 100.000 untuk setiap pembelanjaan di Shopee setiap bulannya.Biaya Layanan transaksi cicilan paling murah  untuk setiap transaksi di Shopee.Gratis perlindungan atas kehilangan atau kerusakan harta benda yang dibeli baik offline maupun online. Pelajari lebih lanjut informasi lengkap mengenai Mandiri Kartu Kredit Shopee. Apakah artikel ini berguna?YaTidakArtikel Terkait[Mandiri Kartu Kredit Shopee] Bagaimana cara mengajukan Mandiri Kartu Kredit Shopee?[Mandiri Kartu Kredit Shopee] Apa saja persyaratan untuk mengajukan Mandiri Kartu Kredit Shopee?
[Mitra Shopee] Bagaimana cara saya memblokir akun Saldo Mitra?,"[Mitra Shopee] Bagaimana cara saya memblokir akun Saldo Mitra?Jika Anda telah berhasil melakukan verifikasi data diri, Anda bisa memblokir akun Saldo Mitra Anda untuk sementara (misalnya karena ponsel hilang) dengan cara menghubungi tim Customer Service Shopee. Namun, jika Anda belum melakukan verifikasi data diri, Anda tidak dapat meminta pemblokiran akun Saldo Mitra sementara.Apakah artikel ini berguna?YaTidak"
[Mitra Shopee] Mengapa saya diminta untuk mengupdate aplikasi Mitra Shopee?,"[Mitra Shopee] Mengapa saya diminta untuk mengupdate aplikasi Mitra Shopee?Untuk meningkatkan kenyamanan penggunaan aplikasi Mitra Shopee, kami menganjurkan Anda untuk segera meng-update aplikasi Mitra Shopee, agar Anda dapat menikmati seluruh fitur terbaru.Apakah artikel ini berguna?YaTidak"
[Mitra Shopee] Bagaimana cara mulai menggunakan Saldo Mitra?,"[Mitra Shopee] Bagaimana cara mulai menggunakan Saldo Mitra?Pada halaman Saldo Mitra, terdapat pilihan Top up, Penarikan dan Cek Riwayat Transaksi. ⚠️CatatanPenggunaan Saldo Mitra hanya dapat dilakukan setelah Anda melakukan verifikasi akun Mitra Shopee.Apakah artikel ini berguna?YaTidak"
[Mitra Shopee] Bagaimana jika saya salah mengisi saldo Mitra ke akun pengguna lain?,[Mitra Shopee] Bagaimana jika saya salah mengisi saldo Mitra ke akun pengguna lain?Kami tidak bertanggung jawab untuk menggantikan jumlah pengisian saldo yang salah akibat kelalaian. Harap selalu pastikan bahwa nomor rekening/Virtual Account tujuan Anda sudah benar sebelum melakukan pembayaran.Apakah artikel ini berguna?YaTidak
[Mitra Shopee] Apa yang dimaksud dengan PIN Saldo Mitra Shopee?,"[Mitra Shopee] Apa yang dimaksud dengan PIN Saldo Mitra Shopee?PIN Saldo Mitra Shopee adalah kode yang digunakan untuk melakukan penarikan dana dari saldo Mitra Shopee. Berikut ketentuan tentang PIN Saldo Mitra Shopee:Anda harus membuat 6 (enam) digit angka PIN Saldo Mitra Shopee demi menjaga keamanan akun Anda.PIN Saldo Mitra harap dibedakan dengan password akun Shopee.Jika Anda salah memasukkan PIN dan/atau kata sandi akun sebanyak 3 (tiga) kali berturut-turut, akun Anda akan dikunci sementara selama 30 menit.Jika Anda salah memasukkan PIN dan/atau kata sandi akun sebanyak 5 (lima) kali dalam rentang waktu 24 jam, akun Anda akan diblokir. Klik di sini untuk memulihkan akun yang diblokir.Apakah artikel ini berguna?YaTidak"
[Mitra Shopee] Berapa lama batas waktu pembayaran untuk pengisian Saldo Mitra?,"[Mitra Shopee] Berapa lama batas waktu pembayaran untuk pengisian Saldo Mitra?Batas waktu pembayaran untuk pengisian Saldo Mitra adalah 1x24 jam sejak pesanan dibuat. Apabila Anda tidak juga melakukan pembayaran dalam rentang waktu 1x24 jam, maka pesanan Anda akan otomatis dibatalkan.Apakah artikel ini berguna?YaTidak"
